Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
13000429,1/2,1150,Wed,THIRTY FIRST ST,M ST,NW,At Intersect,-77.06118,38.90519,19,1,2,1
13000456,1/2,1315,Wed,WISCONSIN AVE,SOUTH ST,NW,Within 100ft,-77.067198,38.914702,Head On,1,1,1
13001256,1/4,0812,Fri,TENTH ST,MONROE ST,NW,At Intersect,-77.027639,38.932881,Left Turn Hit Veh.,1,2,1
13001927,1/5,1730,Sat,FIFTEENTH ST,V ST,NW,At Intersect,-77.034538,38.918103,Rear End,1,1,1
13002015,1/5,2050,Sat,SIXTEENTH ST,U ST,NW,At Intersect,-77.036487,38.917001,Left Turn Hit Veh.,0,2,1
13002965,1/8,0920,Tue,CONNECTICUT AVE,K ST,NW,Within 100ft,-77.03944,38.902533,Head On,1,2,1
13003462,1/9,0831,Wed,FOURTEENTH ST,U ST,NW,Within 100ft,-77.031948,38.917001,19,0,2,1
13003726,1/9,1750,Wed,TENTH ST,F ST,NE,At Intersect,-77.025978,38.897343,Right Angle,1,2,1
13003958,1/8,0855,Tue,FOURTEENTH ST,V ST,NW,At Intersect,-77.031948,38.918112,19,1,1,1
13004044,1/10,1118,Thu,FORTY SECOND ST,BROOKS ST,NE,Within 100ft,-77.081958,38.840373,Other,1,2,1
13004267,1/10,1915,Thu,,,NE,At Intersect,,,W YORK AVE BLADENSBURG RD,0,2,1
13004787,1/11,2042,Fri,GRANT CIR,VARNUM ST,NW,At Intersect,-77.019929,38.943102,Right Turn Hit Ped.,1,1,1
13004994,1/12,0450,Sat,MORTON ST,SHERMAN AVE,NW,Not at Inter,-77.026709,38.931743,Non-Collision Accident,1,1,1
13005415,1/13,0200,Sun,ELY PL,,SE,Not at Inter,,,VENTH PL,1,2,1
13005664,1/13,1700,Sun,NINTEENTH ST,S ST,NW,At Intersect,-77.081958,38.840373,Other,1,1,1
13006057,1/14,1700,Mon,MONTANA AVE,SEVENTEENTH ST,NE,At Intersect,-76.980888,38.921203,Left Turn Hit Veh.,1,1,1
13006122,1/14,1800,Mon,MACARTHUR BLVD RESERVOIR RD,,NW,Not at Inter,,,19,1,2,1
13006612,1/15,1900,Tue,FOURTEENTH ST,QUINCY ST,NW,Not at Inter,-77.032727,38.937584,19,0,2,1
13007313,1/17,1345,Thu,EIGHTEENTH ST,ADAMS ST,NE,At Intersect,-76.978988,38.920211,19,1,2,1
13007567,1/17,2308,Thu,WISCONSIN AVE,,NW,At Intersect,,,19,1,2,1
13007911,1/18,1800,Fri,WOODLEY RD,THIRTY SIXTH ST,NW,At Intersect,-77.0709,38.931752,19,1,2,1
13007966,1/18,2110,Fri,N ST,TWELFTH ST,NW,Within 100ft,-77.02809,38.907241,19,1,2,1
13008197,1/19,1000,Sat,FIRST ST,N ST,NW,At Intersect,-77.081958,38.840373,19,1,2,1
13008236,1/19,1120,Sat,FOURTEENTH ST,CHURCH ST,NW,Within 100ft,-77.031948,38.910394,Side Swiped,1,2,1
13008833,1/20,1649,Sun,QUINCY ST,NEW HAMPSHIRE AVE,NW,Within 100ft,-77.023387,38.937642,19,1,1,1
13008874,1/20,1801,Sun,SIXTH ST,BRYANT ST,NW,At Intersect,-77.020717,38.920101,19,1,2,1
13009219,1/21,1545,Mon,NORTH CAPITOL ST,GALLATIN ST,BN,At Intersect,-77.008999,38.952402,19,1,2,1
13009641,1/22,1456,Tue,FIFTEENTH ST,ALEXANDER HAMILTON PL,NW,Within 100ft,-77.033648,38.896413,Side Swiped,0,2,1
13009739,1/22,1815,Tue,FOURTEENTH ST,H ST,NW,Within 100ft,-77.081958,38.840373,Left Turn Hit Ped.,1,2,1
13010337,1/24,0130,Thu,MARYLAND AVE,THIRTEENTH ST,NE,Not at Inter,-76.988288,38.898171,19,1,1,1
13010826,1/25,0650,Fri,KALMIA RD,SEVENTEENTH ST,NW,Within 100ft,-77.040357,38.985694,19,1,2,1
13012551,1/29,0835,Tue,FIRST ST,G ST,NE,Within 100ft,-77.01217,38.881051,Side Swiped,1,2,1
13012825,1/29,1630,Tue,FRONTAGE RD,SEVENTH ST,SW,Not at Inter,-77.021899,38.882813,Right Angle,1,2,1
13013595,1/31,0740,Thu,PENNSYLVANIA AVE,SEVENTEENTH ST,NW,Not at Inter,-77.039449,38.898804,Rear End,1,2,1
13014530,2/2,0212,Sat,FOURTEENTH ST,SWANN ST,NW,Not at Inter,-77.031948,38.914831,19,1,2,1
13015570,2/4,1510,Mon,FIRST ST,IRVING ST,NW,At Intersect,-77.012139,38.931141,Right Angle,1,2,1
13015881,2/5,0830,Tue,FOURTEENTH ST,P ST,NW,Within 100ft,-77.031948,38.909663,Rear End,0,2,2
13016469,2/6,1319,Wed,NORTH CAPITOL ST,ROCK CREEK CHURCH RD,BN,Within 100ft,-77.00888,38.950511,19,1,2,1
13016866,2/7,0910,Thu,RESERVOIR RD,FORTY FOURTH ST,NW,At Intersect,-77.081958,38.840373,19,1,2,1
13016883,2/7,1003,Thu,FOURTEENTH ST,RHODE ISLAND AVE,NW,At Intersect,-77.031948,38.90883,Right Turn Hit Veh.,1,2,1
13017089,2/7,1815,Thu,NINTH ST,TAYLOR ST,NW,At Intersect,-77.024977,38.940821,Right Turn Hit Ped.,1,2,1
13018543,2/10,2238,Sun,SIXTEENTH ST,COLUMBIA RD,NW,At Intersect,-77.036447,38.926553,Rear End,1,2,1
13018775,2/11,1522,Mon,NEW HAMPSHIRE AVE,Q ST,NW,At Intersect,-77.042049,38.911142,Left Turn Hit Veh.,0,1,1
13019200,2/12,1415,Tue,EIGHTH ST,G ST,SE,Within 100ft,-77.022927,38.898463,Parked Vehicle,1,2,1
13019374,2/12,2049,Tue,TWENTY EIGHTH ST,M ST,NW,At Intersect,-77.05703,38.905252,19,1,2,1
13019381,2/12,2115,Tue,FOURTEENTH ST,CORCORAN ST,NW,Within 100ft,-77.031939,38.911882,Rear End,1,2,1
13019988,2/14,0817,Thu,ALLISON ST,ARKANSAS AVE,NW,At Intersect,-77.031677,38.94505,19,0,2,1
13020166,2/14,1518,Thu,KANSAS AVE,RANDOLPH ST,NW,At Intersect,-77.02833,38.938651,Rear End,1,2,1
13024198,2/23,1714,Sat,BUCHANAN ST,GEORGIA AVE,NW,Within 100ft,-77.026589,38.946131,19,1,1,1
13024654,2/24,1459,Sun,ELEVENTH ST,HARVARD ST,NW,Within 100ft,-77.02705,38.926752,Right Turn Hit Ped.,1,1,1
13024885,2/25,0615,Mon,SIXTH ST,MARYLAND AVE,SW,At Intersect,-77.019907,38.886874,19,1,1,1
13025107,2/25,1900,Mon,NEW HAMPSHIRE AVE,KENNEDY ST,NW,Within 100ft,-77.009301,38.956591,Right Turn Hit Veh.,1,2,1
13025727,2/27,0648,Wed,FOURTEENTH ST,DECATUR ST,NW,At Intersect,-77.032718,38.948243,Right Turn Hit Ped.,1,1,1
13026134,2/27,2300,Wed,ELEVENTH ST,GIRARD ST,NW,At Intersect,-77.027041,38.925751,Other,1,2,1
13026278,2/28,0900,Thu,SEVENTH ST,E ST,NW,Within 100ft,-77.081958,38.840373,19,1,2,1
13027557,3/2,1725,Sat,ELEVENTH ST,W ST,NW,Within 100ft,-77.081958,38.840373,19,1,2,1
13028589,3/5,0854,Tue,MONTANA AVE,RHODE ISLAND AVE,NE,At Intersect,-76.985591,38.924534,Other,0,1,1
13029463,3/7,1020,Thu,FIFTEENTH ST,PENNSYLVANIA AVE,NW,At Intersect,-77.033648,38.895483,19,0,2,1
13029702,3/7,1855,Thu,E ST,SEVENTH ST,NW,Within 100ft,-77.021917,38.896134,Side Swiped,1,2,1
13029982,3/8,0934,Fri,K ST,CONNECTICUT AVE,NW,Not at Inter,-77.03944,38.902533,19,1,2,1
13030241,3/8,1754,Fri,MONROE ST,CLINTON ST,NE,At Intersect,-76.96394,38.932872,Straight Hit Ped.,1,1,1
13030245,3/8,1830,Fri,GEORGIA AVE,GIRARD ST,NW,Within 100ft,-77.022807,38.926141,19,1,2,1
13030388,3/8,2345,Fri,CONNECTICUT AVE,DE SALES ST,NW,Not at Inter,-77.040587,38.904734,19,1,1,1
13030682,3/9,1520,Sat,RHODE ISLAND AVE,FLORIDA AVE,NW,Not at Inter,-77.016909,38.91414,Side Swiped,1,2,1
13031539,3/11,1037,Mon,IRVING ST,MOUNT PLEASANT ST,NW,At Intersect,-77.037337,38.928732,19,1,2,1
13031821,3/11,2115,Mon,FIRST ST,D ST,NW,At Intersect,-77.01217,38.894792,Left Turn Hit Veh.,1,2,1
13031988,3/12,0715,Tue,FOURTH ST,BRYANT ST,NW,At Intersect,-77.01802,38.920362,19,0,2,1
13032547,3/13,1101,Wed,COLUMBIA RD,ONTARIO RD,NW,At Intersect,-77.0403,38.924263,19,0,2,1
13032663,3/13,1200,Wed,M ST,WISCONSIN AVE,NW,At Intersect,-77.062809,38.905181,Rear End,0,2,1
13032713,3/13,1515,Wed,,,NW,"",,,"",,,
13032775,3/13,1849,Wed,BLADENSBURG RD,,NE,At Intersect,,,W YORK AVE,1,2,1
13033183,3/14,1553,Thu,GEORGIA AVE,BARRY PL,NW,Not at Inter,-77.022059,38.920964,19,1,2,1
