Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
10002267,1/6,0859,Wed,THIRTEENTH ST,KENYON ST,NW,At Intersect,-77.029698,38.92967,Right Turn Hit Ped.,1,2,1
10004997,1/12,0830,Wed,SECOND ST,L ST,NE,At Intersect,-77.00357,38.903733,Head On,1,2,1
10005086,1/12,1255,Tue,M ST,FIRST ST,SW,Within 100ft,-77.01217,38.905642,Other,1,2,1
10005351,1/12,2028,Tue,SEVENTEENTH ST,Q ST,NW,At Intersect,-77.038488,38.911133,Left Turn Hit Veh.,0,2,1
10005589,1/13,1430,Wed,H ST,SEVENTH ST,NW,At Intersect,-77.021908,38.899814,Left Turn Hit Ped.,1,1,1
10005763,1/13,2010,Wed,GARFIELD ST,MASSACHUSETTS AVE,NW,Within 100ft,-77.071679,38.927532,Right Angle,1,2,1
10006781,1/15,1955,Fri,MARYLAND AVE,EIGHTH ST,NE,Within 100ft,-76.99493,38.895452,Other,0,0,1
10008786,1/20,0945,Wed,SIXTEENTH ST,HARVARD ST,NW,At Intersect,-77.036469,38.927204,Right Angle,1,2,1
10009441,1/21,1559,Thu,P ST,,NW,N/A,,,Straight Hit Ped.,0,1,1
10010926,1/24,1720,Sun,CALVERT ST,CONNECTICUT AVE,NW,At Intersect,-77.051517,38.923542,Left Turn Hit Ped.,0,2,1
10011435,1/25,2000,Mon,SEVENTEENTH ST,BENNING RD,NE,Within 100ft,-76.979289,38.899354,Right Angle,0,2,1
10011874,1/26,1730,Tue,VERMONT AVE,U ST,NW,At Intersect,-77.02538,38.917014,Other,1,2,1
10011898,1/26,1843,Tue,BILTMORE ST,COLUMBIA RD,NW,N/A,-77.04316,38.92231,Right Angle,0,2,1
10012913,1/28,1915,Thu,RESERVOIR RD,THIRTY NINTH ST,NW,Within 100ft,-77.075541,38.912621,Straight Hit Ped.,1,1,1
10013605,1/30,0710,Sat,GEORGIA AVE,KENNEDY ST,NW,Within 100ft,-77.028028,38.956201,Right Angle,1,1,1
10014327,2/1,1145,Mon,TWENTY NINTH ST,TILDEN ST,NW,At Intersect,-77.058638,38.941021,Right Angle,0,2,1
10014756,2/2,1007,Tue,MICHIGAN AVE,WARDER ST,NW,Not at Inter,-77.019499,38.927921,Right Angle,1,2,1
10015935,2/4,1945,Thu,VAN NESS ST,CONNECTICUT AVE,NW,Within 100ft,-77.06292,38.943151,Other,1,2,1
10020157,2/17,1354,Wed,L ST,NINTEENTH ST,NW,Within 100ft,-77.081958,38.840373,Parked Vehicle,0,2,1
10020552,2/18,1100,Thu,FOURTEENTH ST,L ST,NW,At Intersect,-77.03197,38.903751,Head On,0,0,1
