Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
3015688,2/11,0035,Sat,FOURTEENTH ST,U ST,NW,Within 100ft,-77.031948,38.917001,Override,1,2,1
10000842,1/2,1902,Sun,MICHIGAN AVE,FOURTH ST,NE,At Intersect,-77.000559,38.931424,Left Turn Hit Veh.,1,2,1
10002257,1/5,1800,Wed,THIRTEENTH ST,BELMONT ST,NW,Not at Inter,-77.029698,38.921084,Side Swiped,1,2,1
11000140,1/1,0200,Sat,NEW JERSEY AVE,N ST,NW,At Intersect,-77.015438,38.907232,Rear End,1,1,1
11002577,1/6,1355,Thu,TWENTY FOURTH ST,FRANKLIN ST,NE,Within 100ft,-76.972159,38.925583,Side Swiped,0,2,1
11002955,1/7,0819,Fri,PENNSYLVANIA AVE,NINTEENTH ST,NW,At Intersect,-77.081958,38.840373,Right Angle,1,2,1
11003719,1/8,1855,Sat,H ST,THIRTEENTH ST,NE,"",-77.029627,38.899823,"",,,
11004920,1/11,2000,Tue,PENNSYLVANIA AVE,TWENTY FIFTH ST,NW,Within 100ft,-77.053297,38.90364,Left Turn Hit Ped.,1,2,1
11006849,1/15,2300,Sat,NINTH ST,Q ST,NW,At Intersect,-77.023968,38.911124,Right Angle,1,2,1
11006909,1/16,0150,Sun,EIGHTEENTH ST,COLUMBIA RD,NW,Not at Inter,-77.042647,38.922674,Left Turn Hit Veh.,1,2,1
11007933,1/18,1858,Tue,SPRING RD,THIRTEENTH ST,NW,At Intersect,-77.029729,38.936282,Left Turn Hit Veh.,0,2,1
11007957,1/18,1950,Tue,EIGHTEENTH ST,E ST,NW,At Intersect,-77.081958,38.840373,Right Turn Hit Veh.,1,2,1
11008686,1/20,0630,Thu,FLORIDA AVE,LINCOLN CIR,NE,At Intersect,-76.996449,38.905434,Right Angle,1,2,1
11008820,1/20,1621,Thu,U ST,FOURTEENTH ST,NW,Not at Inter,-77.031948,38.917001,Straight Hit Ped.,1,1,1
11012317,1/28,1902,Fri,FIFTH ST,KANSAS AVE,NW,At Intersect,-77.019597,38.950422,Side Swiped,0,2,1
11012713,1/29,1430,Sat,K ST,WISCONSIN AVE,NW,At Intersect,-77.062747,38.902622,Right Turn Hit Veh.,1,1,1
11013383,1/31,0800,Mon,K ST,FOURTH ST,NW,Within 100ft,-77.016178,38.902524,Side Swiped,0,2,1
11014079,2/1,1810,Tue,TWENTIETH ST,N ST,NW,Within 100ft,-77.081958,38.840373,Side Swiped,0,2,1
11016396,2/6,1423,Sun,FIFTEENTH ST,NEW YORK AVE,NW,At Intersect,-77.033639,38.898791,Other,1,2,1
11017397,2/8,1750,Tue,CONSTITUTION AVE,TENTH ST,NW,Within 100ft,-77.026027,38.892082,Straight Hit Ped.,1,2,1
11017778,2/9,1545,Wed,TWENTY SEVENTH ST,P ST,NW,At Intersect,-77.055617,38.909371,Right Angle,0,2,1
11018315,2/10,1730,Thu,THIRTY FIFTH ST,PROSPECT ST,NW,At Intersect,-77.068978,38.905903,Rear End,0,2,1
11018535,2/15,0757,Tue,WISCONSIN AVE,RESERVIOR RD,NW,At Intersect,-77.066179,38.912772,Other,1,2,1
11018552,2/11,0810,Fri,MASSACHUSETTS AVE,CALIFORNIA ST,NW,At Intersect,-77.055361,38.915584,Right Angle,1,2,1
11019803,2/13,2008,Sun,GEORGIA AVE,UNDERWOOD ST,NW,Within 100ft,-77.027369,38.968623,Right Turn Hit Veh.,1,2,1
11020447,2/15,0930,Tue,COLUMBIA RD,TWENTIETH ST,NW,At Intersect,-77.045529,38.917882,Side Swiped,1,2,1
11021037,2/16,1230,Wed,VIRGINIA AVE,I ST,NW,At Intersect,-77.056578,38.900651,Other,1,2,1
11021122,2/16,1555,Wed,MACOMB ST,THIRTY EIGHTH ST,NW,At Intersect,-77.07396,38.933483,Left Turn Hit Veh.,1,2,1
11021208,2/16,1829,Wed,RHODE ISLAND AVE,FIRST ST,NW,Not at Inter,-77.012157,38.915672,Straight Hit Ped.,0,1,1
11022021,2/18,0938,Fri,COLUMBIA RD,ONTARIO RD,NW,Within 100ft,-77.0403,38.924263,Other,1,2,1
11022637,2/19,0945,Sat,MERIDIAN PL,FOURTEENTH ST,NW,At Intersect,-77.032718,38.933151,Right Turn Hit Ped.,1,1,1
11023644,2/21,1640,Mon,EIGHTEENTH ST,RHODE ISLAND AVE,NE,At Intersect,-76.979139,38.927713,Right Turn Hit Ped.,1,1,1
11024051,2/22,1534,Tue,FOURTEENTH ST,GIRARD ST,NE,At Intersect,-77.032337,38.925742,Other,1,2,1
11024265,2/23,1500,Wed,THIRTEENTH ST,PEABODY ST,NW,At Intersect,-77.02968,38.962711,Left Turn Hit Veh.,1,2,1
11024462,2/23,1500,Wed,SIXTEENTH ST,EUCLID ST,NW,At Intersect,-77.036487,38.923254,Left Turn Hit Ped.,1,1,1
11024817,2/24,0906,Thu,FOURTEENTH ST,CHAPIN ST,NW,Within 100ft,-77.03193,38.921664,Other,1,1,1
