Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
9001912,1/5,0752,Mon,NEW HAMPSHIRE AVE,MISSOURI AVE,NW,Not at Inter,-77.01031,38.955183,Straight Hit Ped.,2,1,1
9002154,1/5,1720,Mon,WARREN ST,FORTY FOURTH ST,NW,At Intersect,-77.081958,38.840373,Right Angle,1,1,1
9002695,1/6,1850,Tue,CONNECTICUT AVE,MCKINLEY ST,NW,Not at Inter,-77.075567,38.964903,Left Turn Hit Veh.,1,2,1
9003096,1/7,1725,Wed,GEORGIA AVE,KENYON ST,NW,At Intersect,-77.023379,38.930011,Other,1,1,1
9003123,1/7,1818,Wed,WISCONSIN AVE,CATHEDRAL AVE,NW,Not at Inter,-77.07311,38.929024,Rear End,1,2,1
9003299,1/8,0300,Thu,CHAMPLAIN ST,KALORAMA RD,NW,At Intersect,-77.040831,38.920172,Left Turn Hit Veh.,0,2,1
9003461,1/8,1230,Thu,RENO RD,,NW,At Intersect,,,Other,1,2,1
9003500,1/8,1455,Thu,FLORIDA AVE,NINTEENTH ST,NW,Within 100ft,-77.081958,38.840373,Parked Vehicle,1,2,1
9003512,1/8,1505,Thu,SIXTH ST,PENNSYLVANIA AVE,NW,Within 100ft,-77.019907,38.892684,Other,1,3,1
9004857,1/11,0250,Sun,COLUMBIA RD,SIXTEENTH ST,NW,Within 100ft,-77.036447,38.926553,Rear End,1,1,1
9005247,1/12,0645,Mon,NEW HAMPSHIRE AVE,SWANN ST,NW,At Intersect,-77.03886,38.914534,Left Turn Hit Ped.,1,2,1
9005573,1/12,1845,Mon,MOUNT PLEASANT ST,KENYON ST,NW,At Intersect,-77.037828,38.929914,Left Turn Hit Veh.,1,2,1
9005987,1/13,1630,Wed,FOURTEENTH ST,PENNSYLVANIA AVE,NW,Within 100ft,-77.031961,38.895523,Side Swiped,1,3,1
9007389,1/16,1416,Fri,HOBART ST,MOUNT PLEASANT ST,NW,Within 100ft,-77.037009,38.927873,Right Angle,1,2,1
9007996,1/17,2058,Sat,MOUNT OLIVET RD,,NE,At Intersect,,,Head On,1,2,1
9008800,1/19,1730,Mon,FOURTEENTH ST,HARVARD ST,NW,At Intersect,-77.032417,38.926571,Straight Hit Ped.,1,1,1
9008847,1/19,1940,Mon,FOURTEENTH ST,R ST,NW,At Intersect,-77.03193,38.912612,Right Turn Hit Ped.,0,2,1
9008906,1/19,1930,Mon,O ST,NINTH ST,NW,At Intersect,-77.023968,38.896134,Side Swiped,0,2,1
9009135,1/20,1430,Tue,U ST,FOURTEENTH ST,NW,Within 100ft,-77.031948,38.917001,Side Swiped,1,1,1
9009472,1/21,0740,Wed,FULTON ST,MASSACHUSETTS AVE,NW,At Intersect,-77.069837,38.926181,Ran Off Roadway,1,1,1
9013857,1/30,1140,Fri,SIXTEENTH ST,FLORIDA AVE,NW,At Intersect,-77.036487,38.919153,Left Turn Hit Veh.,1,2,1
9015680,2/3,0825,Tue,FIFTEENTH ST,RHODE ISLAND AVE,NW,At Intersect,-77.034569,38.907931,Right Angle,1,2,1
9019772,2/11,1650,Wed,THIRTEENTH ST,H ST,NW,At Intersect,-77.081958,38.840373,Other,0,2,1
9020353,2/12,1825,Thu,TWENTIETH ST,P ST,NW,Within 100ft,-77.044887,38.909641,Side Swiped,0,3,1
9020786,2/13,1340,Fri,TWENTY NINTH ST,M ST,NW,At Intersect,-77.058111,38.905243,Left Turn Hit Ped.,0,1,1
9022313,2/17,1220,Tue,INGOMAR ST,WISCONSIN AVE,NW,At Intersect,-77.084327,38.95803,Left Turn Hit Ped.,1,2,1
9022445,2/17,1800,Tue,COLUMBIA RD,TWENTIETH ST,NW,Within 100ft,-77.045529,38.917882,Parked Vehicle,1,2,1
9023358,2/19,1730,Thu,CONSTITUTION AVE,TENTH ST,NW,At Intersect,-77.026027,38.892082,Right Angle,1,2,1
9024341,2/21,1818,Sat,MACARTHUR BLVD ELLIOT PL,,NW,Within 100ft,,,Left Turn Hit Ped.,0,1,1
9025986,2/25,1530,Wed,FIFTH ST,E ST,NW,At Intersect,-77.081958,38.840373,Right Angle,1,1,1
9026335,2/26,0900,Thu,GEORGIA AVE,V ST,NW,Not at Inter,-77.021899,38.917762,Other,1,1,1
9026676,2/26,2105,Thu,TWENTY THIRD ST,M ST,NW,At Intersect,-77.050108,38.905261,Left Turn Hit Ped.,1,2,1
9026848,2/27,0841,Fri,SEVENTH ST,MASSACHUSETTS AVE,NW,Within 100ft,-77.021917,38.902104,Right Turn Hit Veh.,1,2,1
9026880,2/27,1000,Fri,MASSACHUSETTS AVE,THOMAS CIR,NW,At Intersect,-77.032297,38.905894,Non-Collision Accident,1,2,1
9026993,2/27,1428,Fri,K ST,TWENTY FIRST ST,NW,Within 100ft,-77.04665,38.902533,Other,1,3,1
9027133,2/27,1930,Fri,MASSACHUSETTS AVE,FOURTH ST,NE,Within 100ft,-77.0162,38.900182,Right Turn Hit Veh.,0,2,1
