Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
12075129,5/31,1832,Thu,FIFTH ST,L ST,NW,Within 100ft,-77.018928,38.904194,Side Swiped,1,3,1
12075609,6/1,1650,Fri,FLORIDA AVE,THIRD ST,NE,Within 100ft,-77.015859,38.913693,19,1,2,1
12076138,6/2,1705,Sat,THIRTY SEVENTH ST,,NW,At Intersect,,,Side Swiped,1,1,1
12076430,6/3,0215,Sun,MARYLAND AVE,ELLIOTT ST,NE,Within 100ft,-76.986499,38.898862,Straight Hit Ped.,1,1,1
12076686,6/3,1628,Sun,P ST,SOUTH CAPITOL ST,BN,At Intersect,-77.009119,38.87203,19,1,2,1
12076744,6/3,1940,Sun,CLEVELAND AVE,CALVERT ST,NW,At Intersect,-77.05765,38.923214,Right Turn Hit Veh.,1,2,1
12076764,6/2,2130,Sat,THIRTY EIGHTH ST,NEBRASKA AVE,NW,At Intersect,-77.074668,38.951073,Side Swiped,1,2,1
12077425,6/5,0845,Tue,WISCONSIN AVE,Q ST,NW,Not at Inter,-77.065139,38.910814,Rear End,1,2,1
12077431,6/5,0901,Tue,COLUMBIA RD,SIXTEENTH ST,NW,Within 100ft,-77.036447,38.926553,Rear End,0,1,1
12077714,6/5,1833,Tue,WHEELER RD,UPSAL ST,SE,At Intersect,-76.993597,38.839871,19,1,2,1
12078154,6/6,1505,Wed,M ST,FBI:KEY BRIDGE,NW,Within 100ft,,,Rear End,1,2,1
12078669,6/7,1349,Thu,MAINE AVE,FOURTEENTH ST,SW,At Intersect,-77.0322,38.883571,Right Turn Hit Ped.,1,1,1
12078769,6/7,1659,Thu,NINTH ST,S ST,NW,Not at Inter,-77.081958,38.840373,Head On,1,2,1
12078833,6/7,1903,Thu,CLEVELAND AVE,CALVERT ST,NW,At Intersect,-77.05765,38.923214,Right Angle,1,2,1
12078847,6/7,1900,Thu,FIRST ST,IRVING ST,NW,At Intersect,-77.012139,38.931141,19,1,1,1
12078905,6/7,2130,Thu,EIGHTEENTH ST,ONTARIO RD,NW,Not at Inter,-77.04161,38.925481,Other,1,2,1
12079094,6/8,0809,Fri,ELEVENTH ST,Q ST,NW,Within 100ft,-77.027041,38.911124,"",1,1,1
12079099,6/8,0810,Fri,ILLINOIS AVE,FARRAGUT ST,NW,At Intersect,-77.0241,38.950883,19,1,2,1
12079221,6/8,1247,Fri,THIRTEENTH ST,Q ST,NW,N/A,-77.029618,38.911133,Right Turn Hit Ped.,0,1,1
12079389,6/8,1730,Fri,SEVENTH ST,D ST,NW,Within 100ft,-77.021908,38.894792,Parked Vehicle,0,1,1
12079732,6/9,0416,Sat,EIGHTEENTH ST,BELMONT RD,NW,N/A,-77.042,38.920592,Side Swiped,0,2,1
12080420,6/10,1108,Sun,SIXTEENTH ST,COLUMBIA RD,NW,Within 100ft,-77.036447,38.926553,19,1,1,1
12080553,6/10,1740,Sun,SEVENTH ST,P ST,NW,Not at Inter,-77.021917,38.909654,Side Swiped,0,2,1
12080570,6/10,1751,Sun,L ST,TWENTY FIRST ST,NW,At Intersect,-77.046637,38.903742,19,1,2,1
12080635,6/10,2020,Sun,SEVENTH ST,G ST,NW,Not at Inter,-77.021908,38.89845,19,0,3,1
12081312,6/12,0900,Tue,FOURTEENTH ST,N ST,NW,Not at Inter,-77.081958,38.840373,19,1,2,1
12082117,6/13,1841,Wed,FORTY SECOND ST,BENNING RD,NE,At Intersect,-77.081958,38.840373,Right Turn Hit Veh.,1,1,1
12082163,6/13,1940,Wed,NINTEENTH ST,PENNSYLVANIA AVE,NW,Within 100ft,-77.081958,38.840373,Other,2,2,1
12082652,6/14,1728,Thu,FOURTEENTH ST,P ST,NW,At Intersect,-77.031948,38.909663,Left Turn Hit Ped.,1,2,1
12082986,6/15,0813,Fri,THIRTEENTH ST,M ST,NW,Within 100ft,-77.029609,38.905664,19,1,2,1
12083077,6/15,1245,Fri,EAST CAPITOL ST,FIFTY SEVENTH PL,BN,Not at Inter,-76.919399,38.88981,Other,1,1,1
12083245,6/15,1804,Fri,WESTERN AVE,MILITARY RD,NW,Not at Inter,-77.085447,38.960993,19,1,2,1
12083260,6/15,1915,Fri,PENNSYLVANIA AVE,FIFTEENTH ST,NW,Not at Inter,-77.033648,38.895483,Other,1,2,1
12083515,6/16,0245,Sat,EIGHTEENTH ST,KALORAMA RD,NW,Not at Inter,-77.041748,38.919671,Parked Vehicle,0,2,1
12083720,6/16,1420,Sat,ORDWAY ST,CONNECTICUT AVE,NW,At Intersect,-77.058487,38.935591,Side Swiped,0,2,1
12083797,6/16,1711,Sat,MARTIN LUTHER KING JR AVE,FIFTH ST,SE,At Intersect,-76.999487,38.843383,Right Turn Hit Ped.,0,1,1
12084575,6/16,0056,Sat,GOOD HOPE RD,FOURTEENTH ST,SE,Within 100ft,-76.98509,38.866774,Fixed Object,0,1,1
12084716,6/18,1615,Mon,NINTH ST,FLORIDA AVE,NW,At Intersect,-77.024007,38.917754,19,1,2,1
12085249,6/19,1723,Tue,MASSACHUSETTS AVE,FIFTEENTH ST,NW,At Intersect,-77.03456,38.906563,Rear End,1,2,1
12085515,6/20,0327,Wed,BLADENSBURG RD,MEIGS PL,NE,N/A,-76.979967,38.905354,19,1,1,1
12085582,6/20,0900,Wed,SIXTEENTH ST,T ST,NW,Within 100ft,-77.036509,38.91557,Other,1,1,1
12086148,6/21,1050,Thu,RANDLE CIR,,SE,Within 100ft,,,COND ST,1,2,1
12087598,6/24,0201,Sun,HARVARD ST,SIXTEENTH ST,NW,At Intersect,-77.036469,38.927204,19,1,2,1
12088101,6/25,0715,Mon,E ST,VIRGINIA AVE,NW,At Intersect,-77.04804,38.896023,Side Swiped,1,2,1
12088343,6/25,1640,Mon,SIXTEENTH ST,ALLISON ST,NW,At Intersect,-77.036469,38.945073,19,1,1,1
12088818,6/26,1523,Tue,RHODE ISLAND AVE,MARION ST,NW,At Intersect,-77.020969,38.912612,Left Turn Hit Ped.,1,1,1
12088932,6/26,1840,Tue,FLORIDA AVE,,NE,At Intersect,,,W YORK AVE,1,1,1
12088952,6/26,1905,Tue,NINTEENTH ST,D ST,NE,At Intersect,-77.081958,38.840373,Right Angle,0,2,1
