Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
51470107,1/11,2129,Thu,FLORIDA AVE,12TH ST,NW,Not at Inter,-77.028077,38.920703,Parked Vehicle,0,0,2
54510107,1/12,1430,Fri,S CAPITOL ST,HALLEY PL,BN,Within 100ft,-77.00783,38.835664,Straight Hit Ped.,0,1,1
59020107,1/13,0950,Sat,U ST,16TH ST,NW,Within 100ft,-77.036487,38.917001,Right Angle,0,1,2
60400107,1/13,1955,Sat,PENNSYLVANIA AVE,13TH ST,NW,Not at Inter,-77.02964,38.895381,Rear End,0,0,2
62530507,5/1,1806,Tue,31ST ST,P ST,NW,At Intersect,-77.061441,38.909291,Other,0,1,1
68800107,1/15,1230,Mon,MELLON ST,MARTIN LUTHER KING AVE,SE,Not at Inter,-76.99706,38.845491,Straight Hit Ped.,0,0,1
71960107,1/16,0855,Tue,C ST,17TH ST,NW,At Intersect,-77.039467,38.893521,Other,0,1,1
78090107,1/17,1435,Wed,13TH ST,G ST,NW,At Intersect,-77.029618,38.898313,Side Swiped,0,1,3
87070107,1/19,1357,Fri,TRINIDAD AVE,MOUNT OLIVET RD,NE,Within 100ft,-76.98219,38.908994,Other,0,1,1
100130107,1/22,0950,Mon,FLORIDA AVE,16TH ST,NW,At Intersect,-77.036487,38.919153,Left Turn Hit Veh.,0,1,2
102280107,1/22,1758,Mon,RHODE ISLAND AVE,SCOTT CIR,NW,At Intersect,-77.036947,38.907223,Straight Hit Ped.,0,0,2
119600107,1/26,1215,Fri,HOLMEAD PL,PARKWOOD PL,NW,At Intersect,-77.030858,38.93529,Right Angle,0,0,2
133920107,1/29,1633,Mon,KENNEDY ST,4TH ST,NW,Within 100ft,-77.01779,38.956502,Right Angle,0,1,2
138340107,1/30,1640,Tue,R ST,NEW HAMPSHIRE AVE,NW,Within 100ft,-77.040658,38.912612,Side Swiped,0,0,2
196130207,2/12,1700,Mon,Q ST,9TH ST,NW,Within 100ft,-77.023968,38.911124,Right Angle,0,1,1
226950207,2/20,1855,Tue,18TH ST,R ST,NW,Within 100ft,-77.041659,38.912612,Rear End,0,1,1
231240207,2/21,1640,Wed,16TH ST,COLUMBIA RD,NW,At Intersect,-77.036447,38.926553,Right Turn Hit Ped.,0,1,1
245170207,2/24,1440,Sat,EAST CAPITOL ST,SOUTHERN AVE,BN,At Intersect,-76.913239,38.889801,Right Angle,0,1,2
267880307,3/1,1830,Thu,18TH ST,COLUMBIA RD,NW,At Intersect,-77.042647,38.922674,Right Angle,0,0,2
270540207,2/28,0000,Wed,16TH ST,BELMONT ST,NW,Not at Inter,-77.036478,38.920393,Other,0,0,1
271790307,3/2,1635,Fri,6TH ST,CONSTITUTION AVE,NW,Within 100ft,-77.019907,38.892104,Left Turn Hit Veh.,0,0,2
329160307,3/14,1945,Wed,ARKANSAS AVE,GEORGIA AVE,NW,At Intersect,-77.027369,38.951511,Right Angle,0,0,2
334570307,3/15,2130,Thu,D ST,3RD ST,SW,At Intersect,-77.015168,38.885072,Right Angle,0,1,2
345970307,3/18,1100,Sun,13TH ST,K ST,NW,At Intersect,-77.029627,38.902414,Right Turn Hit Veh.,0,1,1
356830307,3/20,1620,Tue,M ST,24TH ST,NW,Not at Inter,-77.05141,38.905261,Other,0,1,2
389030307,3/27,0645,Tue,SOUTHERN AVE,41ST PL,SE,Not at Inter,-76.944761,38.865361,Parked Vehicle,0,1,2
395620307,3/28,1320,Wed,WISCONSIN AVE,34TH ST,NW,Within 100ft,-77.067787,38.915761,Other,0,1,2
400050307,3/29,1235,Thu,1ST ST,PIERCE ST,NW,Within 100ft,-77.01217,38.904694,Other,0,1,1
422200407,4/3,0750,Tue,BRYANT ST,6TH ST,NW,Within 100ft,-77.020717,38.920101,Fixed Object,0,1,1
434140407,4/5,1745,Thu,JEFFERSON DR,12TH ST,SW,Not at Inter,-77.028188,38.888663,Straight Hit Ped.,0,1,2
436870407,4/6,0950,Fri,11TH ST,PARK RD,NW,Within 100ft,-76.99152,38.892782,Right Angle,0,1,2
438060407,4/6,1455,Fri,25TH ST,WAGNER ST,SE,At Intersect,-76.969981,38.859232,Right Turn Hit Veh.,0,0,1
