Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
462030407,4/11,2130,Wed,,,NE,At Intersect,,,W HAMPSHIRE AVE EASTERN AVE,0,0,2
465950407,4/12,1700,Thu,8TH ST,CONSTITUTION AVE,NE,Within 100ft,-76.99497,38.892011,Straight Hit Ped.,0,2,1
485810407,4/16,0645,Mon,5TH ST,INGRAHAM ST,NW,At Intersect,-77.019769,38.95431,Right Angle,0,1,2
487460407,4/17,0825,Tue,11TH ST,PARK RD,NW,At Intersect,-76.99152,38.892782,Left Turn Hit Veh.,0,1,1
502620407,4/20,0905,Fri,17TH ST,MARYLAND AVE,NE,Within 100ft,-76.978979,38.901922,Head On,0,0,0
504740407,4/20,1620,Fri,35TH ST,PROSPECT ST,NW,Not at Inter,-77.068978,38.905903,Other,0,1,1
514730407,4/22,1705,Sun,16TH ST,L ST,NW,At Intersect,-77.03654,38.903751,Straight Hit Ped.,0,1,1
519800407,4/23,1330,Mon,14TH ST,CONSTITUTION AVE,NW,At Intersect,-77.031948,38.892091,Head On,0,1,2
526640407,4/24,1955,Tue,15TH ST,G ST,NW,Not at Inter,-77.033639,38.898313,Other,0,0,3
536960407,4/26,1915,Thu,WARDER ST,PRINCETON PL,NW,At Intersect,-77.021147,38.9356,Straight Hit Ped.,0,1,1
539340407,4/27,0850,Fri,34TH ST,FULTON ST,NW,Within 100ft,-77.066378,38.926181,Side Swiped,0,1,2
547210407,4/28,1845,Sat,G ST,BENNING RD,SE,Not at Inter,-76.93303,38.881503,Right Angle,0,1,2
550720407,4/29,1440,Sun,23RD ST,P ST,NW,Within 100ft,-77.049338,38.909641,Head On,0,1,2
554500407,4/30,0820,Mon,R ST,16TH ST,NW,Within 100ft,-77.036518,38.912612,Right Turn Hit Veh.,0,1,2
556730407,4/30,1645,Mon,EVARTS ST,10TH ST,NE,At Intersect,-76.992428,38.924503,Head On,0,1,2
561100507,5/1,1230,Tue,RESERVOIR RD,KENMORE DR,NW,At Intersect,-77.08593,38.912843,Left Turn Hit Veh.,0,1,2
561610507,5/1,1545,Tue,14TH ST,THOMAS CIR,NW,Within 100ft,-77.032297,38.905443,Other,0,1,2
562530507,5/1,1806,Tue,31ST ST,P ST,NW,At Intersect,-77.061441,38.909291,Other,0,1,2
565570507,5/2,1010,Wed,11TH ST,T ST,NW,At Intersect,-77.02701,38.915593,Rear End,0,1,2
598700507,5/8,1920,Tue,13TH ST,F ST,NE,At Intersect,-77.029618,38.897343,Other,0,1,1
608820507,5/10,1845,Thu,FARRAGUT ST,4TH ST,NW,Within 100ft,-77.017537,38.951064,Right Angle,0,1,2
610660507,5/11,0100,Fri,FLORIDA AVE,NORTH CAPITOL ST,BN,"",-77.009088,38.910823,"",,,
612410507,5/11,1155,Fri,GEORGIA AVE,FERN ST,NW,At Intersect,-77.026421,38.977971,Right Angle,0,1,2
626120507,5/13,2120,Sun,1ST ST,O ST,NW,At Intersect,-77.081958,38.840373,Left Turn Hit Veh.,0,1,1
626590507,5/13,2335,Sun,BLADENSBURG RD,,NE,At Intersect,,,W YORK AVE,0,1,2
628650507,5/14,1245,Mon,17TH ST,I ST,NW,At Intersect,-77.039449,38.901342,Right Turn Hit Ped.,0,2,2
631260507,5/14,2025,Mon,6TH ST,SOUTHERN AVE,SE,At Intersect,-76.999288,38.822813,Head On,0,1,2
640120507,5/16,1408,Wed,14TH ST,I ST,NW,At Intersect,-77.031961,38.901342,Straight Hit Ped.,0,1,1
640820507,5/11,1820,Fri,INDEPENDENCE AVE,6TH ST,SE,At Intersect,-77.019898,38.887561,Straight Hit Ped.,0,1,1
645730507,5/17,1609,Thu,SOUTHERN AVE,SUITLAND RD,SE,At Intersect,-76.949867,38.861282,Right Turn Hit Veh.,0,1,2
647210507,5/17,1945,Thu,14TH ST,Q ST,NW,Within 100ft,-77.031948,38.911133,Non-Collision Accident,0,1,2
661740507,5/20,1315,Sun,SPRING RD,14TH ST,NW,Within 100ft,-77.032749,38.937101,Right Angle,0,1,1
674090507,5/22,1916,Tue,M ST,WISCONSIN AVE,NW,Not at Inter,-77.062809,38.905181,Other,0,1,2
678090507,5/23,1459,Wed,LONGFELLOW ST,GEORGIA AVE,NW,Not at Inter,-77.02817,38.957273,Straight Hit Ped.,0,1,1
678990507,5/23,1810,Wed,13TH ST,N ST,NW,Within 100ft,-77.029609,38.907241,Other,0,1,2
679250507,5/23,1855,Wed,16TH ST,SPRING PL,NW,Not at Inter,-77.036438,38.936791,Straight Hit Ped.,0,1,1
681330507,5/24,0700,Thu,18TH ST,FLORIDA AVE,NW,At Intersect,-77.04165,38.916802,Left Turn Hit Veh.,0,1,2
682110507,5/24,1040,Thu,14TH ST,CONSTITUTION AVE,NW,Within 100ft,-77.031948,38.892091,Side Swiped,0,1,2
684650507,5/23,0900,Wed,H ST,11TH ST,NW,Within 100ft,-77.027041,38.899823,Straight Hit Ped.,0,0,1
685600507,5/24,2145,Thu,WOODLEY RD,CONNECTICUT AVE,NW,Within 100ft,-77.052677,38.925543,Left Turn Hit Ped.,0,1,1
687680507,5/25,1040,Fri,17TH ST,E ST,NW,At Intersect,-77.081958,38.840373,Right Turn Hit Veh.,0,1,2
689870507,5/25,1955,Fri,F ST,ALABAMA AVE,SE,Not at Inter,-76.939247,38.881733,Right Angle,0,1,2
706380507,5/29,0835,Tue,13TH ST,U ST,NW,Within 100ft,-77.029618,38.917001,Other,0,1,2
707890507,5/29,1355,Tue,COLUMBIA RD,CHAMPLAIN ST,NW,Within 100ft,-77.041398,38.923533,Side Swiped,0,1,1
709800507,5/29,2000,Tue,46TH ST,A ST,SE,At Intersect,-76.93605,38.88888,Straight Hit Ped.,0,1,1
715020507,5/30,1900,Wed,M ST,POTOMAC ST,NW,Not at Inter,-77.065298,38.905133,Other,0,1,2
731550607,6/2,1815,Sat,SHERIFF RD,46TH ST,NE,At Intersect,-76.936608,38.902763,Other,0,1,2
738960607,6/4,1156,Mon,16TH ST,IRVING ST,NW,Within 100ft,-77.036478,38.928692,Side Swiped,0,1,2
739710607,6/4,1505,Mon,8TH ST,H ST,NE,Within 100ft,-77.022949,38.899814,Left Turn Hit Veh.,0,1,2
741820607,6/4,2215,Mon,NORTH CAPITOL ST,RANDOLPH PL,BN,At Intersect,-77.009088,38.913343,Right Angle,0,1,2
742810607,6/5,0540,Tue,RHODE ISLAND AVE,12TH ST,NE,"",-77.028068,38.91015,"",,,
743420607,6/5,0903,Tue,E ST,3RD ST,NW,Within 100ft,-77.015199,38.883234,Left Turn Hit Ped.,0,1,2
747680607,6/5,2135,Tue,WISCONSIN AVE,P ST,NW,Within 100ft,-77.064279,38.909193,Head On,0,1,2
752250607,6/6,1845,Wed,3RD ST,L ST,NE,At Intersect,-77.015199,38.877544,Right Angle,0,0,2
752610607,6/6,1920,Wed,CALVERT ST,BILTMORE ST,NW,At Intersect,-77.047319,38.923254,Right Turn Hit Veh.,0,1,2
757120607,6/7,1625,Thu,JEFFERSON ST,ILLINOIS AVE,NW,At Intersect,-77.026771,38.955152,Right Angle,0,2,1
758640607,6/7,2105,Thu,MANOR PL,37TH ST,NW,Not at Inter,-77.07295,38.918732,Other,0,1,2
758650607,6/7,2030,Thu,M ST,WISCONSIN AVE,NW,At Intersect,-77.062809,38.905181,Right Turn Hit Veh.,0,1,2
768630607,6/9,1400,Sat,MINNESOTA AVE,22ND ST,SE,At Intersect,-76.974949,38.871344,Head On,0,1,2
771830607,6/9,2207,Sat,MONROE ST,14TH ST,NE,Not at Inter,-77.032718,38.931154,Fixed Object,1,1,1
781050607,6/11,1830,Mon,PENNSYLVANIA AVE,POTOMAC AVE,SE,Not at Inter,-77.081958,38.840373,Side Swiped,0,1,1
781110607,6/11,1530,Mon,GEORGIA AVE,FARRAGUT ST,NW,At Intersect,-77.027267,38.950794,Back Hit Ped.,0,1,1
798030607,6/14,2300,Thu,18TH ST,CALIFORNIA ST,NW,At Intersect,-77.041659,38.91782,Rear End,0,0,2
802290607,6/15,1600,Fri,7TH ST,H ST,NE,At Intersect,-77.021908,38.899814,Right Angle,0,0,2
808220607,6/16,2108,Sat,RANDOLPH ST,13TH ST,NW,Within 100ft,-77.029707,38.93866,Right Angle,0,1,2
823310607,6/19,1846,Tue,PENNSYLVANIA AVE,6TH ST,NW,Not at Inter,-77.019907,38.892684,Side Swiped,0,1,2
824430607,6/19,2120,Tue,H ST,17TH ST,NW,At Intersect,-77.039427,38.900213,Right Angle,0,1,2
826930607,6/20,0940,Wed,NEW HAMPSHIRE AVE,SWANN ST,NW,Not at Inter,-77.03886,38.914534,Side Swiped,0,1,2
835270607,6/21,1925,Thu,4TH ST,G ST,SE,At Intersect,-77.017551,38.881312,Non-Collision Accident,0,1,1
839850607,6/22,1708,Fri,GEORGIA AVE,MADISON ST,NW,Not at Inter,-77.028228,38.958353,Right Angle,0,1,2
845220607,6/23,1900,Sat,MOUNT PLEASANT ST,LAMONT ST,NW,"",-77.03832,38.931154,"",,,
848570607,6/24,1110,Sun,WISCONSIN AVE,MACOMB ST,NW,At Intersect,-77.07241,38.933483,Right Angle,0,0,2
848720607,6/24,1340,Sun,FLORIDA AVE,20TH ST,NW,Within 100ft,-77.044887,38.915123,Parked Vehicle,0,1,2
852660607,6/25,1020,Mon,MICHIGAN AVE,SOUTH DAKOTA AVE,NE,Within 100ft,-76.98335,38.942553,Straight Hit Ped.,0,1,1
854280607,6/25,1605,Mon,NEBRASKA AVE,INGOMAR PL,NW,Not at Inter,-77.068429,38.958353,Other,0,1,2
858100607,6/26,1225,Tue,16TH ST,HARVARD ST,NW,At Intersect,-77.036469,38.927204,Right Angle,0,1,1
858530607,6/26,1350,Tue,CONSTITUTION AVE,14TH ST,NW,At Intersect,-77.031948,38.892091,Right Angle,0,0,2
863840607,6/27,1330,Wed,L ST,18TH ST,NW,"",-77.041668,38.903742,"",,,
864690607,6/27,1700,Wed,DELAWARE AVE,M ST,NE,"",-77.01388,38.876401,"",,,
869610607,6/28,1539,Thu,EASTERN AVE,HEMLOCK ST,NW,Within 100ft,-77.023139,38.981873,Parked Vehicle,0,1,2
875570607,6/29,1714,Fri,MONROE ST,16TH ST,NW,Within 100ft,-77.03646,38.932602,Right Angle,0,1,2
881460607,6/30,1700,Sat,NEW JERSEY AVE,D ST,NW,At Intersect,-77.010939,38.894792,"",0,1,1
882560607,6/30,2238,Sat,NEW HAMPSHIRE AVE,EMERSON ST,NW,At Intersect,-77.01407,38.950103,Right Turn Hit Ped.,0,1,1
885720707,7/1,1525,Sun,POTOMAC AVE,PENNSYLVANIA AVE,SE,At Intersect,-77.081958,38.840373,Left Turn Hit Ped.,0,1,1
897680707,7/3,2203,Tue,M ST,DELAWARE AVE,NE,Not at Inter,-77.01388,38.876401,Straight Hit Ped.,0,1,1
899060707,7/4,0645,Wed,FRANCIS SCOTT KEY BRIDGE,M ST,NW,Within 100ft,-77.06869,38.905044,Rear End,0,1,2
901310707,7/4,1745,Wed,9TH ST,E ST,NW,At Intersect,-77.081958,38.840373,Other,0,1,1
904480707,7/3,1655,Tue,13TH ST,EASTERN AVE,NW,Not at Inter,-77.02964,38.986934,Side Swiped,0,0,2
909700707,7/6,1010,Fri,W ST,14TH ST,NW,Within 100ft,-77.031948,38.919184,Right Angle,0,1,2
916720707,7/7,1900,Sat,18TH ST,T ST,NW,Within 100ft,-77.04165,38.91557,Right Angle,0,1,2
921400707,7/8,2015,Sun,L ST,5TH ST,NW,At Intersect,-77.018928,38.904194,Side Swiped,0,0,2
929070707,7/10,0945,Tue,23RD ST,I ST,NW,At Intersect,-77.050117,38.900704,Right Angle,0,0,1
937290707,7/11,1909,Wed,14TH ST,TAYLOR ST,NW,At Intersect,-77.032709,38.94079,Right Angle,0,1,1
943020707,7/12,2140,Thu,CONNECTICUT AVE,LIVINGSTON ST,NW,Not at Inter,-77.074518,38.963092,Side Swiped,0,1,2
945590707,7/13,1250,Fri,FARRAGUT ST,4TH ST,NW,Not at Inter,-77.017537,38.951064,Right Angle,0,1,1
959130707,7/16,0927,Mon,1ST ST,G ST,NE,At Intersect,-77.01217,38.881051,Right Angle,0,1,0
960020707,7/16,1130,Mon,CONNECTICUT AVE,GARFIELD ST,NW,Not at Inter,-77.05327,38.926544,Other,0,0,1
960920707,7/16,1350,Mon,MARTIN LUTHER KING AVE,MORRIS RD,SE,At Intersect,-76.991219,38.863333,Left Turn Hit Veh.,0,0,1
982440707,7/20,1716,Fri,17TH ST,H ST,NW,Within 100ft,-77.039427,38.900213,Right Angle,0,1,0
982970707,7/20,1845,Fri,MORSE ST,STAPLES ST,NE,At Intersect,-76.98529,38.90182,Right Angle,0,0,2
100617070,7/25,1130,Wed,CONNECTICUT AVE,M ST,NW,Within 100ft,-77.041128,38.905664,Other,0,1,2
100782070,7/25,1935,Wed,FLORIDA AVE,8TH ST,NE,Within 100ft,-77.02294,38.916713,Fixed Object,0,1,1
101001070,7/26,0832,Thu,SOUTH DAKOTA AVE,,NE,Within 100ft,,,DY ST,0,1,1
101262070,7/26,1730,Thu,WISCONSIN AVE,MASSACHUSETTS AVE,NW,Within 100ft,-77.073158,38.928612,Side Swiped,0,1,2
101837070,7/27,1830,Fri,STANTON TERR,FREDERICK PL,SE,Not at Inter,-77.081958,38.840373,Parked Vehicle,0,0,2
101962070,7/27,2200,Fri,MASSACHUSETTS AVE,I ST,NW,At Intersect,-77.019477,38.901324,Side Swiped,0,0,2
102477070,7/28,1929,Sat,19TH ST,VERNON ST,NW,Within 100ft,-77.043891,38.916974,Other,0,1,2
104278080,8/1,1300,Wed,HOWISON PL,N ST,SW,Not at Inter,-77.011391,38.874634,Back Hit Ped.,0,1,1
104318080,8/1,1424,Wed,HAMILTON ST,13TH ST,NW,At Intersect,-77.029689,38.952902,Right Angle,0,1,2
104435080,8/1,1815,Wed,CONSTITUTION AVE,9TH ST,NW,At Intersect,-77.023959,38.892091,Left Turn Hit Veh.,0,1,2
104572080,8/1,2343,Wed,30TH ST,K ST,NW,At Intersect,-77.059107,38.902604,Straight Hit Ped.,0,1,1
104902080,8/2,1545,Thu,PENNSYLVANIA AVE,NEW YORK AVE,NW,At Intersect,-77.033639,38.898791,Right Angle,0,1,2
106030080,8/4,1620,Sat,PENNSYLVANIA AVE,CONSTITUTION AVE,NW,At Intersect,-77.018609,38.892321,Right Angle,0,1,2
108407080,8/9,0745,Thu,WISCONSIN AVE,HALL PL,NW,Within 100ft,-77.07144,38.920132,Parked Vehicle,0,1,2
108514080,8/9,1225,Thu,FLORIDA AVE,3RD ST,NW,"",-77.015859,38.913693,"",,,
108974080,8/10,1020,Fri,SUMNER RD,MARTIN LUTHER KING AVE,SE,At Intersect,-76.995201,38.859312,Other,0,1,1
109185080,8/10,1750,Fri,M ST,1ST ST,NW,At Intersect,-77.01217,38.905642,Other,0,1,2
110449070,7/29,1015,Sun,RIGGS RD,SOUTH DAKOTA AVE,NE,At Intersect,-77.002397,38.956923,"",0,1,2
111626080,8/15,1945,Wed,14TH ST,TAYLOR ST,NW,Within 100ft,-77.032709,38.94079,Side Swiped,0,0,1
113148080,8/18,1725,Sat,61ST ST,DIX ST,NE,Within 100ft,-76.91366,38.89446,Right Angle,0,1,1
114481080,8/21,1615,Tue,15TH ST,PENNSYLVANIA AVE,NW,Within 100ft,-77.033648,38.895483,Fixed Object,0,0,1
114752080,8/22,0130,Wed,H ST,5TH ST,NW,Not at Inter,-77.018928,38.899814,Straight Hit Ped.,0,1,1
115084080,8/22,2000,Wed,4TH ST,ATLANTIC ST,SE,"",-77.000559,38.830961,"",,,
115845080,8/24,1115,Fri,CANAL RD,M ST,NW,Not at Inter,-77.0716,38.90511,Other,0,1,2
116069080,8/24,2015,Fri,NEW YORK AVE,17TH ST,NW,At Intersect,-77.039458,38.896404,Right Angle,0,1,1
116537080,8/25,1535,Sat,EMERSON ST,SARGENT RD,NE,Within 100ft,-76.989541,38.950254,Straight Hit Ped.,0,1,1
118193080,8/29,0715,Wed,M ST,,NW,Within 100ft,,,Straight Hit Ped.,0,1,2
118976080,8/30,1800,Thu,POMEROY RD,STANTON RD,SE,Not at Inter,-76.98699,38.856172,Straight Hit Ped.,0,1,1
120523090,9/2,2000,Sun,1ST ST,N ST,SE,At Intersect,-77.01217,38.874661,Straight Hit Ped.,0,1,1
121281090,9/4,1600,Tue,CONNECTICUT AVE,Q ST,NW,Within 100ft,-77.044458,38.911142,Parked Vehicle,0,1,2
121424090,9/4,2031,Tue,IDAHO AVE,MACOMB ST,NW,Within 100ft,-77.075271,38.933492,Head On,0,1,2
121864090,9/5,1823,Wed,18TH ST,BELMONT RD,NW,At Intersect,-77.042,38.920592,Left Turn Hit Ped.,0,1,1
122103090,9/6,0700,Thu,GEORGIA AVE,RITTENHOUSE ST,NW,At Intersect,-77.027701,38.964943,Other,0,1,2
122390090,9/6,1832,Thu,M ST,6TH ST,NW,At Intersect,-77.019898,38.905642,Right Turn Hit Ped.,0,1,2
122705090,9/7,0904,Fri,C ST,1ST ST,SE,At Intersect,-77.018547,38.866101,Left Turn Hit Veh.,0,1,2
122841090,9/7,1730,Fri,PENNSYLVANIA AVE,10TH ST,NW,Within 100ft,-77.026009,38.894363,Side Swiped,0,0,2
122859090,9/7,1650,Fri,M ST,20TH ST,NW,Within 100ft,-77.044901,38.905664,Side Swiped,0,1,1
123526090,9/8,1945,Sat,17TH ST,T ST,NW,Not at Inter,-77.038479,38.91557,Right Angle,0,1,2
123648090,9/8,2242,Sat,14TH ST,QUINCY ST,NW,At Intersect,-77.032727,38.937584,Left Turn Hit Ped.,0,1,1
123826090,9/9,0918,Sun,14TH ST,K ST,NW,At Intersect,-77.031961,38.902391,Right Angle,1,1,3
124503090,9/10,1830,Mon,GEORGIA AVE,V ST,NW,At Intersect,-77.021899,38.917762,Side Swiped,0,0,2
124829090,9/11,1200,Tue,11TH ST,H ST,NW,At Intersect,-77.027041,38.899823,Right Angle,0,1,2
125649090,9/12,2239,Wed,16TH ST,FULLER ST,NW,At Intersect,-77.036469,38.924764,Straight Hit Ped.,0,1,2
125768090,9/13,0800,Thu,PENNSYLVANIA AVE,MINNESOTA AVE,SE,At Intersect,-76.971477,38.873762,Other,0,2,2
126371090,9/14,1140,Fri,K ST,13TH ST,NW,At Intersect,-77.029627,38.902414,Side Swiped,0,1,2
126664090,9/14,2305,Fri,MASSACHUSETTS AVE,NORTH CAPITOL ST,BN,Not at Inter,-77.009057,38.897471,Other,0,1,1
128004090,9/17,1835,Mon,17TH ST,EAST CAPITOL ST,BN,At Intersect,-76.980777,38.889801,Left Turn Hit Ped.,0,1,1
128192090,9/18,0805,Tue,17TH ST,CORCORAN ST,NW,At Intersect,-77.038479,38.911873,Left Turn Hit Veh.,0,1,1
128410090,9/18,1348,Tue,CHAIN BRIDGE,RD,NW,At Intersect,-77.081958,38.840373,Other,0,1,1
128430090,9/18,1621,Tue,16TH ST,SPRING PL,NW,At Intersect,-77.036438,38.936791,Left Turn Hit Veh.,0,1,2
129004090,9/19,1750,Wed,CONNECTICUT AVE,UPTON ST,NW,At Intersect,-77.062287,38.942052,Right Turn Hit Veh.,0,1,2
129237090,9/20,0548,Thu,DELAWARE AVE,D ST,NE,At Intersect,-77.010811,38.885072,Right Angle,0,1,2
129581090,9/20,2133,Thu,STANTON RD,MISSISSIPPI AVE,SE,Within 100ft,-76.97905,38.84313,Left Turn Hit Veh.,0,1,1
129668090,9/21,0210,Fri,34TH ST,MASSACHUSETTS AVE,NW,At Intersect,-77.06637,38.924321,Other,0,1,1
130516090,9/22,1820,Sat,SEATON PL,1ST ST,NW,Not at Inter,-77.012148,38.914831,Right Angle,0,1,2
131485090,9/24,2040,Mon,HOLBROOK ST,FLORIDA AVE,NE,Within 100ft,-76.98517,38.900651,Head On,0,1,2
131878090,9/25,1701,Tue,1ST ST,MASSACHUSETTS AVE,NW,At Intersect,-77.007799,38.896922,Left Turn Hit Veh.,0,1,2
132278090,9/26,1242,Wed,CONNECTICUT AVE,NEBRASKA AVE,NW,Within 100ft,-77.070408,38.956033,Right Angle,0,1,2
132316090,9/26,1340,Wed,M ST,WISCONSIN AVE,NW,Within 100ft,-77.062809,38.905181,Other,0,1,3
132400090,9/26,1800,Wed,16TH ST,ALLISON ST,NW,At Intersect,-77.036469,38.945073,Right Angle,0,1,2
133158090,9/28,0720,Fri,13TH ST,S ST,NW,Within 100ft,-77.029618,38.914091,Side Swiped,0,1,2
133167090,9/28,0820,Fri,GIRARD ST,NORTH CAPITOL ST,BN,Within 100ft,-77.009097,38.925844,Other,0,0,1
133544090,9/28,2136,Fri,GEORGIA AVE,GALLATIN ST,NW,At Intersect,-77.027417,38.951901,Straight Hit Ped.,0,1,1
133821090,9/26,1900,Wed,CONNECTICUT AVE,CALVERT ST,NW,Not at Inter,-77.051517,38.923542,Other,0,0,2
134057090,9/29,2230,Sat,14TH ST,THOMAS CIR,NW,Not at Inter,-77.032297,38.905443,Side Swiped,0,0,2
134413090,9/30,1641,Sun,GEORGIA AVE,ASPEN ST,NW,At Intersect,-77.027028,38.972321,Right Angle,0,1,1
135395100,10/2,1840,Tue,14TH ST,G ST,NW,At Intersect,-77.031961,38.898322,Non-Collision Accident,0,1,2
135880100,10/3,1755,Wed,7TH ST,E ST,NW,Within 100ft,-77.081958,38.840373,Other,0,1,2
136170100,10/4,1040,Thu,18TH ST,S ST,NW,Not at Inter,-77.041668,38.914091,Straight Hit Ped.,0,1,1
136175100,10/4,0850,Thu,13TH ST,K ST,NW,Not at Inter,-77.029627,38.902414,Right Angle,0,1,2
136280100,10/4,1415,Thu,PENNSYLVANIA AVE,28TH ST,NW,Within 100ft,-77.057057,38.904973,Other,0,1,3
136290100,10/4,1455,Thu,RHODE ISLAND AVE,R ST,NW,At Intersect,-77.021257,38.912612,Other,0,2,1
136394100,10/4,1750,Thu,18TH ST,COLUMBIA RD,NW,At Intersect,-77.042647,38.922674,Back Hit Moving Veh.,0,0,2
136816100,10/5,1345,Fri,MASSACHUSETTS AVE,7TH ST,NW,Not at Inter,-77.021917,38.902104,Side Swiped,0,0,2
137204100,10/6,0130,Sat,PENNSYLVANIA AVE,29TH ST,SE,Not at Inter,-77.058111,38.905243,Rear End,0,1,2
137672100,10/6,2315,Sat,FLORIDA AVE,CALIFORNIA ST,NW,At Intersect,-77.04041,38.91782,Side Swiped,0,1,2
138509100,10/8,1807,Mon,WHITEHURST FRWY FRANCIS SCOTT KEY BRIDGE,,NW,Within 100ft,,,Parked Vehicle,0,1,2
138608100,10/8,2140,Mon,CONNECTICUT AVE,CALVERT ST,NW,Within 100ft,-77.051517,38.923542,Side Swiped,0,2,2
139039100,10/9,1945,Tue,M ST,T JEFFERSON ST,NW,At Intersect,-77.081958,38.840373,Side Swiped,0,1,2
139205100,10/10,0838,Wed,K ST,30TH ST,NW,Within 100ft,-77.059107,38.902604,Right Angle,0,1,2
139289100,10/10,1218,Wed,17TH ST,DE SALES ST,NW,Within 100ft,-77.038497,38.904761,Parked Vehicle,0,1,1
139407100,10/10,1630,Wed,M ST,30TH ST,NW,At Intersect,-77.059169,38.905221,Left Turn Hit Ped.,0,1,1
139466100,10/10,1840,Wed,QUINCY ST,GEORGIA AVE,NW,Within 100ft,-77.02449,38.937593,Right Angle,0,1,1
139708100,10/11,0826,Thu,FLORIDA AVE,20TH ST,NW,Within 100ft,-77.044887,38.915123,Other,0,1,1
139727100,10/11,0820,Thu,UNION STATION PLAZA LOUISIANA AVE,,NE,Not at Inter,,,Other,0,0,2
