Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
10845,1/24,1720,Thu,THIRTY SEVENTH ST,MANOR PL,NW,At Intersect,-77.07295,38.918732,Left Turn Hit Veh.,0,1,2
11197,1/25,1530,Fri,TWENTY THIRD ST,CALIFORNIA ST,NW,At Intersect,-77.050578,38.915601,Right Angle,0,1,2
11368,1/25,2055,Fri,COLUMBIA RD,ONTARIO RD,NW,Within 100ft,-77.0403,38.924263,Side Swiped,0,1,2
11806,1/26,1845,Sat,R ST,SIXTEENTH ST,NW,At Intersect,-77.036518,38.912612,Side Swiped,0,0,1
13303,1/30,0554,Wed,NEW JERSEY AVE,K ST,NW,At Intersect,-77.01372,38.902511,Right Turn Hit Ped.,0,1,2
13385,1/30,0600,Wed,NEW JERSEY AVE,K ST,NW,At Intersect,-77.01372,38.902511,Side Swiped,0,1,1
14113,1/31,1950,Thu,OKLAHOMA AVE,BENNING RD,NE,At Intersect,-76.969538,38.897653,Right Turn Hit Ped.,0,1,1
14435,2/1,1423,Fri,TWENTY FIRST ST,NEWPORT PL,NW,At Intersect,-77.046637,38.9079,Right Turn Hit Veh.,0,1,1
17100,2/7,0635,Thu,SIXTEENTH ST,MONROE ST,NW,At Intersect,-77.03646,38.932602,Left Turn Hit Veh.,0,1,2
17170,2/7,1058,Thu,E ST,SIXTH ST,NW,Not at Inter,-77.019907,38.883243,Other,0,1,2
17298,2/7,0800,Thu,SEVENTH ST,D ST,SW,Within 100ft,-77.021908,38.894792,Other,0,1,2
17733,2/8,0915,Fri,THIRTEENTH ST,,NW,At Intersect,,,Other,0,1,2
17935,2/8,1755,Fri,GEORGIA AVE,VAN BUREN ST,NW,At Intersect,-77.027258,38.969912,Left Turn Hit Ped.,0,0,1
20560,2/14,1550,Thu,SECOND ST,RHODE ISLAND AVE,NW,At Intersect,-77.081958,38.840373,Side Swiped,0,0,2
21124,2/15,1906,Fri,TWENTY SECOND ST,L ST,NW,Within 100ft,-77.04882,38.903751,Left Turn Hit Ped.,0,1,1
22398,2/18,1505,Mon,TWENTY FIRST ST,I ST,NW,At Intersect,-77.04665,38.900691,Other,0,1,2
23774,2/21,1735,Thu,THIRTEENTH ST,N ST,NW,At Intersect,-77.081958,38.840373,Right Turn Hit Ped.,0,0,1
24342,2/22,2020,Fri,IRVING ST,ELEVENTH ST,NW,Within 100ft,-77.02751,38.928701,Parked Vehicle,0,1,2
25515,2/25,1449,Mon,FIRST ST,C ST,NW,Within 100ft,-77.081958,38.840373,Side Swiped,0,1,2
26313,2/27,0920,Wed,MASSACHUSETTS AVE,BELMONT RD,NW,At Intersect,-77.056747,38.916602,Right Angle,0,1,1
27016,2/28,1830,Thu,TWELFTH ST,O ST,NW,At Intersect,-77.081958,38.840373,Straight Hit Ped.,0,0,1
27082,2/28,2045,Thu,PENNSYLVANIA AVE,TWENTIETH ST,NW,Within 100ft,-77.04491,38.900704,Head On,0,1,1
29181,3/4,1020,Tue,GEORGIA AVE,IRVING ST,NW,Within 100ft,-77.023228,38.929042,Rear End,0,1,2
29624,3/5,0726,Wed,THIRTEENTH ST,U ST,NW,Not at Inter,-77.029618,38.917001,Parked Vehicle,0,1,1
29729,3/5,1105,Wed,THIRTY SEVENTH ST,,NW,At Intersect,,,Left Turn Hit Ped.,0,1,1
30710,3/7,1010,Fri,TWELFTH ST,E ST,NW,At Intersect,-77.081958,38.840373,Left Turn Hit Veh.,0,1,2
30817,3/7,1530,Fri,RHODE ISLAND AVE,REED ST,NE,Within 100ft,-76.993907,38.92204,Side Swiped,0,1,2
32198,3/10,1700,Mon,THIRTEENTH ST,PENNSYLVANIA AVE,SE,At Intersect,-77.02964,38.895381,Left Turn Hit Veh.,0,0,2
32436,3/11,0700,Tue,SEVENTH ST,C ST,SW,At Intersect,-77.081958,38.840373,Other,0,1,1
32799,3/11,2025,Tue,SIXTEENTH ST,HARVARD ST,NW,Within 100ft,-77.036469,38.927204,Rear End,0,1,2
33776,3/13,1945,Thu,FIFTH ST,E ST,NW,At Intersect,-77.081958,38.840373,Left Turn Hit Veh.,0,1,2
34639,3/15,1110,Sat,NINTEENTH ST,Q ST,NW,At Intersect,-77.081958,38.840373,Right Angle,0,1,1
34685,3/15,1349,Sat,THIRTEENTH ST,V ST,NW,At Intersect,-77.029618,38.918112,Right Angle,0,1,2
34835,3/15,1850,Sat,M ST,SIXTH ST,SW,At Intersect,-77.019898,38.905642,Right Angle,0,1,1
34868,3/15,1920,Sat,MINNESOTA AVE,E ST,SE,Within 100ft,-76.958077,38.882822,Rear End,0,0,0
35902,3/18,0900,Tue,FOURTEENTH ST,P ST,NW,At Intersect,-77.031948,38.909663,Right Angle,0,1,2
36918,3/20,0732,Thu,NORTH CAPITOL ST,RIGGS RD,BN,At Intersect,-77.009039,38.954802,Right Turn Hit Ped.,0,0,1
37038,3/20,1340,Thu,K ST,NORTH CAPITOL ST,BN,Not at Inter,-77.009097,38.902524,Rear End,0,0,2
37312,3/20,2330,Thu,TWELFTH ST,MONROE ST,NE,At Intersect,-76.99098,38.932571,Right Angle,0,0,2
39039,3/24,1840,Mon,TWELFTH ST,PENNSYLVANIA AVE,SE,Within 100ft,-77.028099,38.894952,Right Turn Hit Ped.,0,1,1
39056,3/24,1800,Mon,TWENTIETH ST,M ST,NW,Within 100ft,-77.044901,38.905664,Right Angle,0,1,2
39720,3/26,0630,Wed,D ST,FOURTH ST,NW,Within 100ft,-77.016041,38.863691,Other,0,1,1
40032,3/26,1855,Wed,GEORGIA AVE,BUTTERNUT ST,NW,At Intersect,-77.026908,38.973614,Straight Hit Ped.,0,0,2
41458,3/29,1700,Sat,THIRTEENTH ST,COLUMBIA RD,NW,At Intersect,-77.029707,38.927642,Right Turn Hit Ped.,0,0,1
42574,3/31,2324,Mon,FOURTEENTH ST,BUCHANAN ST,NW,Not at Inter,-77.032727,38.946113,Right Angle,0,1,2
44473,4/4,1932,Fri,S ST,FIFTH ST,NW,At Intersect,-77.018928,38.914091,Right Turn Hit Ped.,0,1,1
45108,4/5,2230,Sat,ADAMS MILL RD,LANIER PL,NW,Within 100ft,-77.043687,38.923431,Other,0,0,1
45396,4/6,1450,Sun,U ST,ELEVENTH ST,NW,At Intersect,-77.027001,38.917014,Left Turn Hit Veh.,0,1,2
45882,4/7,0200,Mon,LAMONT ST,MOUNT PLEASANT ST,NW,Within 100ft,-77.03832,38.931154,Parked Vehicle,0,1,2
46714,4/9,1210,Wed,M ST,TWENTY SECOND ST,NW,Within 100ft,-77.048811,38.905274,Parked Vehicle,0,0,2
46794,4/9,1500,Wed,NEW HAMPSHIRE AVE,R ST,NW,Within 100ft,-77.040658,38.912612,Side Swiped,0,0,2
46977,4/9,2040,Wed,S ST,SEVENTH ST,NW,At Intersect,-77.021908,38.914091,Left Turn Hit Veh.,0,1,2
48519,4/12,1640,Sat,MACOMB ST,ROSS PL,NW,Within 100ft,-77.060878,38.933501,Non-Collision Accident,0,1,0
48862,4/13,1053,Sun,D ST,LOUISIANA AVE,NW,Within 100ft,-77.0095,38.894792,Right Angle,0,1,2
49384,4/14,1620,Mon,CONSTITUTION AVE,SEVENTH ST,NE,At Intersect,-77.021908,38.892091,Other,0,1,2
49529,4/15,2026,Tue,TWENTY THIRD ST,H ST,NW,At Intersect,-77.050131,38.899571,Right Angle,0,1,3
49685,4/15,0805,Tue,MASSACHUSETTS AVE,NORTH CAPITOL ST,BN,Within 100ft,-77.009057,38.897471,Parked Vehicle,0,0,2
49690,4/15,0840,Tue,HAREWOOD RD,MICHIGAN AVE,NE,Within 100ft,-77.000997,38.931234,Other,0,1,2
